Unnamed: 0,protocol,IP,hash ID,Time,F_Pck,B_Pck,F_P_L1,F_P_L2,F_P_L3,F_P_L4,B_P_L1,B_P_L2,B_P_L3,B_P_L4,F_Hash_IPT,B_Hash_IPT,F_P_L_A,B_P_L_A,F_IA_T_M,F_IA_T_S,A_M,I_M,F_TCP_S_C,B_TCP_S_C,Label_T,Label_AB,Label_Multi_A,Prelabel_T,Prelabel_AB,Prelabel_Multi_A
418,6,10.1.1.2,2550164764,7.631151,0,100,0,0,0,0,0,0,100,0,16,16,0,509,0.0,183725.882,0.0,93597313.4,0,0,0,1,2,0,1,2
423,6,10.1.1.4,3743576265,7.676989,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,81557.239,0.0,46976969.4,0,0,0,1,4,0,1,4
427,6,10.1.1.2,2550164764,7.761133,0,100,0,0,0,0,0,0,100,0,16,16,0,509,0.0,196950.355,0.0,100334388.9,0,0,0,1,2,0,1,2
434,6,10.1.1.3,159023198,7.855134,0,100,0,0,0,0,0,0,0,100,16,16,0,1507,0.0,18379.252,0.0,27712971.53,0,0,0,1,3,0,1,3
437,6,10.1.1.2,2550164764,7.914378,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,167052.789,0.0,85531027.93,0,0,0,1,2,0,1,2
445,6,10.1.1.4,3743576265,8.007691,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,77411.068,0.0,44588774.9,0,0,0,1,4,0,1,4
449,6,10.1.1.2,2550164764,8.117946,0,100,0,0,0,0,0,0,100,0,16,16,0,508,0.0,125756.368,0.0,63984840.03,0,0,0,1,2,0,1,2
456,6,10.1.1.2,2550164764,8.225509,0,100,0,0,0,0,0,1,99,0,16,15,0,505,0.0,238000.542,0.0,120333073.9,0,0,0,1,2,0,1,2
460,6,10.1.1.1,595229600,8.316899,0,100,0,0,0,0,0,1,7,92,16,16,0,1422,0.0,16431.575,0.0,23367014.53,0,0,0,1,1,0,1,1
462,6,10.1.1.2,2550164764,8.331605,0,100,0,0,0,0,0,0,100,0,16,13,0,512,0.0,241290.84,0.0,123540910.0,0,0,0,1,2,0,1,2
463,6,10.1.1.4,3743576265,8.334377,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,78362.732,0.0,45136933.53,0,0,0,1,4,0,1,4
468,6,10.1.1.2,2550164764,8.43889,0,100,0,0,0,0,0,0,100,0,16,15,0,510,0.0,238616.718,0.0,121713615.4,0,0,0,1,2,0,1,2
470,6,10.1.1.8,3884774358,8.454881,0,100,0,0,0,0,0,0,93,7,16,16,0,627,0.0,28038.175,0.0,17585543.45,0,0,0,1,8,0,1,8
473,6,10.1.1.6,2126477730,8.518959,0,100,0,0,0,0,0,0,100,0,16,16,0,412,0.0,14138.974,0.0,5827519.534,0,0,0,1,6,0,1,6
476,6,10.1.1.2,2550164764,8.538132,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,257955.374,0.0,132073151.5,0,0,0,1,2,0,1,2
487,6,10.1.1.4,3743576265,8.621468,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,89170.328,0.0,51362108.67,0,0,0,1,4,0,1,4
489,6,10.1.1.2,2550164764,8.659458,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0.0,211001.817,0.0,107762847.7,0,0,0,1,2,0,1,2
495,6,10.1.1.2,2550164764,8.761812,0,100,0,0,0,0,0,0,100,0,16,16,0,505,0.0,250112.234,0.0,126456745.4,0,0,0,1,2,0,1,2
503,6,10.1.1.2,2550164764,8.867477,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,242275.187,0.0,124044895.7,0,0,0,1,2,0,1,2
507,6,10.1.1.4,3743576265,8.910077,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,88701.314,0.0,51091956.86,0,0,0,1,4,0,1,4
516,6,10.1.1.3,159023198,9.024291,0,100,0,0,0,0,0,0,0,100,16,16,0,1501,0.0,21896.118,0.0,32875707.09,0,0,0,1,3,0,1,3
519,6,10.1.1.2,2550164764,9.038966,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0.0,149280.712,0.0,76145105.38,0,0,0,1,2,0,1,2
522,6,10.1.1.7,1673646831,9.094957,0,100,0,0,0,0,0,0,100,0,16,16,0,263,0.0,16748.874,0.0,4416343.034,0,0,0,1,7,0,1,7
529,6,10.1.1.2,2550164764,9.186128,0,100,0,0,0,0,0,0,100,0,16,16,0,503,0.0,173957.716,0.0,87619022.32,0,0,0,1,2,0,1,2
531,6,10.1.1.4,3743576265,9.229901,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,80044.029,0.0,46105360.78,0,0,0,1,4,0,1,4
539,6,10.1.1.2,2550164764,9.372603,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0.0,137283.965,0.0,70025805.05,0,0,0,1,2,0,1,2
547,6,10.1.1.8,3884774358,9.508021,0,100,0,0,0,0,0,0,96,4,16,16,0,581,0.0,24308.255,0.0,14126013.34,0,0,0,1,8,0,1,8
548,6,10.1.1.2,2550164764,9.541553,0,100,0,0,0,0,0,0,100,0,16,15,0,504,0.0,151524.047,0.0,76416607.4,0,0,0,1,2,0,1,2
549,6,10.1.1.4,3743576265,9.568241,0,100,0,0,0,0,0,0,100,0,15,16,0,576,0.0,75663.524,0.0,43582189.75,0,0,0,1,4,0,1,4
557,6,10.1.1.1,595229600,9.672482,0,100,0,0,0,0,0,1,10,89,16,16,0,1398,0.0,18884.864,0.0,26408594.13,0,0,0,1,1,0,1,1
562,6,10.1.1.2,2550164764,9.765241,0,100,0,0,0,0,0,0,100,0,16,16,0,505,0.0,114445.056,0.0,57863420.17,0,0,0,1,2,0,1,2
569,6,10.1.1.4,3743576265,9.837856,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,94950.23,0.0,54691332.3,0,0,0,1,4,0,1,4
572,6,10.1.1.2,2550164764,9.927372,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0.0,157897.172,0.0,80641243.77,0,0,0,1,2,0,1,2
585,6,10.1.1.4,3743576265,10.100047,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,97638.723,0.0,56239904.43,0,0,0,1,4,0,1,4
586,6,10.1.1.2,2550164764,10.109732,0,100,0,0,0,0,0,0,100,0,16,16,0,506,0.0,140381.714,0.0,71066838.68,0,0,0,1,2,0,1,2
593,6,10.1.1.6,2126477730,10.218967,0,100,0,0,0,0,0,0,100,0,16,16,0,409,0.0,15058.753,0.0,6168065.398,0,0,0,1,6,0,1,6
599,6,10.1.1.2,2550164764,10.299553,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,134863.895,0.0,69050314.05,0,0,0,1,2,0,1,2
